iter	RMSE
0	126500222.7
1	123860449.4
2	120732959.7
3	117784169.6
4	115380580
5	112292895
6	109127137.8
7	106166174.6
8	103880638.1
9	101410150.7
10	98785312.86
11	96517130.47
12	94197153.22
13	92118928.36
14	90028155.64
15	88171152.4
16	86236140.86
17	84281068.6
18	82850973.55
19	81386778.11
20	80110651.94
21	78772790.2
22	77314326.88
23	76016887.96
24	74911010.75
25	73354419.23
26	72235670.28
27	70877566.93
28	69898714.59
29	68987215.74
30	67817083.11
31	66809189.85
32	65792743.81
33	65086557.86
34	64372414.15
35	63409538.69
36	62678920.86
37	61859028.75
38	60874978.29
39	59968975.26
40	59269617.79
41	58411106.7
42	57760068.37
43	57199235.61
44	56367740.67
45	55717991.99
46	55234451.22
47	54622708.76
48	54279391.34
49	53548989.14
50	52989677.67
51	52496453.11
52	51838334.68
53	51484093.3
54	51108621.65
55	50656119.81
56	50256489.1
57	49905788.52
58	49394959.94
59	48892379.11
60	48418562.54
61	48031484.01
62	47727735.69
63	47122803.48
64	46624409.06
65	46279802.6
66	45863215.91
67	45553028.34
68	45222565.94
69	44955044.94
70	44665268.41
71	44187881.58
72	43878224.73
73	43542537.72
74	43238499.9
75	42716597.26
76	42181420.92
77	41769783.7
78	41633331.13
79	41450882.64
80	41130989.96
81	40856186.26
82	40568833.57
83	40252783.77
84	40032384.15
85	39733916.05
86	39487744.85
87	39334872.97
88	39085721.23
89	38818322.84
90	38548547.45
91	38434717.21
92	38164954.1
93	37910058.91
94	37706961.76
95	37513131.83
96	37163782.32
97	37025633.23
98	36888748.19
99	36555279.88
100	36359041.49
101	36187839.14
102	36036332.53
103	35733747.03
104	35395736.95
105	35041027.08
106	34824105.75
107	34721743.08
108	34576065.75
109	34314033.08
110	34118242.77
111	33960303.68
112	33858659.74
113	33532142.66
114	33446257.17
115	33304693.78
116	33191117.57
117	33041955.97
118	32832945.36
119	32703753.93
120	32612549.54
121	32498007.47
122	32329928.68
123	32098956.81
124	31941015.95
125	31808972.69
126	31544925.69
127	31384254.86
128	31090771.57
129	30920033.08
130	30650584.71
131	30556105.58
132	30344238.38
133	30207067.05
134	30062957.86
135	29949807.92
136	29867199.27
137	29749426.88
138	29651502.62
139	29582242.92
140	29434264.43
141	29365942.56
142	29179088.6
143	29096361.1
144	28880837.43
145	28775276.13
146	28634317.13
147	28503117.19
148	28472023.72
149	28307233.29
150	28096874.01
151	27901425.21
152	27702388.22
153	27582258.05
154	27476781.19
155	27373960.25
156	27285952.87
157	27219718.61
158	27152651.66
159	27005811.31
160	26937605.33
161	26878507.07
162	26787095.18
163	26747185.57
164	26558800.88
165	26481125.64
166	26401184.79
167	26324481.18
168	26281436.07
169	26174560.61
170	26122542.56
171	26047960.19
172	25957151.07
173	25896396.46
174	25747242.46
175	25649192.33
176	25617444.29
177	25523215.38
178	25432154.03
179	25356976.14
180	25195065.21
181	25133227.74
182	25069558.67
183	24909704.95
184	24836240.33
185	24767693.58
186	24708881.93
187	24640115.62
188	24598879.7
189	24517386.54
190	24443593.41
191	24386759.5
192	24334233.75
193	24255985.6
194	24177925.23
195	24105605.34
196	24064449.58
197	23996407.39
198	23846191.55
199	23700224.04
200	23555393.52
201	23415844.42
202	23349553.58
203	23212779.55
204	23126205.92
205	22996825.71
206	22951463.64
207	22894926.29
208	22849128.09
209	22724454.46
210	22679349.35
211	22630322.2
212	22552183.71
213	22484193.37
214	22434045.31
215	22361665.79
216	22309421.83
217	22191777.14
218	22124109.01
219	22101461.39
220	22059718.05
221	22028440.02
222	21960367.66
223	21912609.22
224	21870030.04
225	21749465.08
226	21701436.71
227	21618787.07
228	21557159.82
229	21492677.58
230	21449257.55
231	21391624.76
232	21328880.53
233	21290755.11
234	21186044.73
235	21086157.88
236	20983671.5
237	20960433.02
238	20920779.24
239	20823603.66
240	20791823.91
241	20746584.12
242	20713464.03
243	20602250.72
244	20571776.47
245	20515537.81
246	20486323.08
247	20450115.47
248	20371658.15
249	20334779.05
250	20284012.23
251	20263547.17
252	20245325.03
253	20140320.25
254	20107553.59
255	20036022.77
256	19987348.84
257	19958141.32
258	19924231.05
259	19907134.11
260	19860473.1
261	19840388.46
262	19788254.14
263	19769269.79
264	19728842.28
265	19704562.36
266	19637643.09
267	19594757.24
268	19563626.43
269	19520236.22
270	19479934.82
271	19439906.27
272	19416727.92
273	19401037.91
274	19398985.18
275	19364421.55
276	19325465.4
277	19266667.9
278	19264685.52
279	19218931.81
280	19181692.7
281	19158593.4
282	19137952.64
283	19080268.67
284	19059100.2
285	19022513.58
286	18991183.89
287	18958632.46
288	18936664.95
289	18919713.53
290	18906356.05
291	18872523.04
292	18852949.41
293	18842780.96
294	18816535.09
295	18733011.29
296	18722714.85
297	18672028.78
298	18660036.13
299	18645210.81
