iter	Passed	Remaining
0	142	42674
1	144	21511
2	145	14449
3	147	10891
4	148	8753
5	149	7326
6	150	6311
7	152	5552
8	153	4957
9	154	4479
10	155	4090
11	156	3766
12	158	3498
13	159	3266
14	161	3062
15	162	2884
16	163	2727
17	165	2586
18	166	2459
19	167	2345
20	168	2234
21	169	2139
22	170	2054
23	171	1976
24	173	1905
25	174	1835
26	175	1770
27	176	1711
28	177	1655
29	178	1602
30	178	1553
31	179	1505
32	180	1460
33	181	1418
34	182	1378
35	182	1341
36	183	1305
37	184	1271
38	185	1239
39	185	1208
40	186	1180
41	187	1152
42	188	1126
43	189	1100
44	189	1075
45	190	1051
46	191	1028
47	191	1006
48	192	983
49	192	963
50	193	943
51	193	924
52	194	905
53	194	887
54	195	870
55	195	853
56	196	837
57	196	821
58	197	806
59	198	792
60	198	778
61	199	764
62	199	751
63	200	738
64	200	725
65	201	713
66	201	702
67	202	690
68	202	679
69	203	668
70	203	657
71	204	646
72	204	636
73	205	626
74	205	616
75	205	606
76	206	597
77	206	588
78	207	579
79	207	571
80	208	562
81	208	554
82	208	546
83	209	538
84	209	530
85	210	523
86	210	515
87	211	508
88	211	501
89	211	494
90	212	487
91	212	480
92	213	474
93	213	467
94	213	461
95	214	455
96	215	450
97	215	444
98	215	438
99	216	432
100	216	427
101	217	421
102	217	416
103	218	410
104	218	405
105	218	400
106	219	395
107	219	390
108	220	385
109	220	381
110	221	376
111	221	371
112	221	367
113	222	362
114	222	358
115	223	353
116	223	349
117	223	345
118	224	341
119	224	337
120	225	333
121	225	329
122	225	325
123	226	321
124	226	317
125	227	313
126	227	310
127	228	306
128	228	303
129	229	299
130	229	296
131	230	293
132	230	289
133	231	286
134	231	282
135	231	279
136	232	276
137	232	273
138	233	270
139	233	267
140	234	264
141	234	261
142	235	258
143	235	255
144	236	252
145	236	249
146	236	246
147	237	243
148	237	240
149	238	238
150	238	235
151	239	232
152	239	230
153	240	227
154	240	225
155	241	222
156	241	219
157	241	217
158	242	215
159	243	212
160	243	210
161	244	208
162	244	205
163	245	203
164	245	201
165	246	198
166	246	196
167	247	194
168	247	191
169	248	189
170	248	187
171	249	185
172	249	183
173	250	181
174	250	178
175	251	176
176	251	174
177	251	172
178	252	170
179	252	168
180	253	166
181	253	164
182	254	162
183	254	160
184	255	158
185	255	156
186	256	154
187	257	153
188	257	151
189	258	149
190	258	147
191	259	145
192	259	144
193	260	142
194	260	140
195	261	138
196	261	136
197	262	135
198	262	133
199	263	131
200	263	129
201	264	128
202	264	126
203	265	124
204	265	123
205	266	121
206	266	119
207	267	118
208	267	116
209	268	114
210	268	113
211	268	111
212	269	110
213	269	108
214	270	106
215	271	105
216	271	103
217	272	102
218	272	100
219	273	99
220	273	97
221	274	96
222	274	94
223	275	93
224	275	91
225	276	90
226	276	88
227	277	87
228	277	86
229	278	84
230	278	83
231	279	81
232	279	80
233	280	78
234	280	77
235	281	76
236	281	74
237	281	73
238	282	72
239	282	70
240	283	69
241	283	68
242	284	66
243	285	65
244	285	64
245	286	62
246	286	61
247	287	60
248	287	58
249	288	57
250	288	56
251	289	55
252	289	53
253	290	52
254	290	51
255	290	50
256	291	48
257	291	47
258	292	46
259	292	45
260	293	43
261	293	42
262	294	41
263	294	40
264	295	39
265	295	37
266	296	36
267	296	35
268	297	34
269	297	33
270	298	31
271	298	30
272	299	29
273	300	28
274	300	27
275	301	26
276	302	25
277	302	23
278	303	22
279	303	21
280	304	20
281	305	19
282	305	18
283	306	17
284	307	16
285	307	15
286	308	13
287	309	12
288	309	11
289	310	10
290	310	9
291	311	8
292	311	7
293	312	6
294	312	5
295	313	4
296	314	3
297	314	2
298	315	1
299	315	0
